Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
35,Сливки,5694,517,Молочные продукты,Помогает поддерживать нормальный уровень гормонов в организме.,1996-02-05,2022-04-10,1.06:,New
36,Курт,2342,774,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-08-02,2028-04-09,1.18:,Awaiting Review
37,Пакеты для уборки,9005,635,Товары для дома,Отличается гипоаллергенностью и безопасностью для большинства людей.,2013-03-04,2015-09-08,1.74:,Awaiting Payment
38,Кабанятина,2916,811,Мясо,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2016-02-13,2029-01-01,2.84:,Returned
39,Апельсин,8078,907,Фрукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2022-03-05,2025-05-01,1.41:,Available for Pickup
40,Пакеты для Дня учителя,1121,512,Товары для дома,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2003-03-01,2010-02-03,4.35:,In Stock
41,Чебуреки,9009,121,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1995-05-01,2027-03-14,1.76:,Delivered
42,Эндивий,3482,198,Овощи,Способствует нормализации обмена веществ в организме.,2003-04-20,2022-01-04,3.73:,Sold
43,Черный перец горошком,545,847,Бакалея,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1991-05-03,2026-01-01,2.14:,Cancelled
44,Плавленые сырки,1283,899,Бакалея,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2019-04-10,2025-04-01,0.5:,Awaiting Payment
45,Майонез,4917,894,Бакалея,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2001-03-06,2019-04-11,4.17:,Awaiting Review
46,Лимон,4845,366,Фрукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2014-03-01,2029-02-23,4.89:,Temporarily Unavailable
47,Молоко,2716,68,Молочные продукты,"Помогает улучшить состояние волос, ногтей и кожи.",2005-04-01,2026-06-06,1.42:,Shipping
48,Доски разделочные,9268,538,Товары для дома,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2006-02-05,2030-09-04,0.03:,Delivered
49,Сок апельсиновый,6018,937,Напитки,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2005-06-01,2009-01-15,4.71:,Cancelled
50,Баклажан,2802,439,Овощи,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",1995-02-05,2003-01-19,4.58:,Out of Stock
51,Фета,7157,664,Молочные продукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2006-01-05,2009-03-21,1.08:,New
52,Каша из дробленной полентовой крупы,710,986,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,1992-02-11,2006-02-01,3.71:,On Backorder
53,Огурец,7571,455,Овощи,"Подходит для использования в диетах, направленных на снижение веса.",2004-07-24,2030-09-06,3.68:,Sold
54,Перец болгарский,8525,570,Овощи,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2007-01-04,2009-07-25,2.2:,Awaiting Payment
55,Масло оливковое,8096,986,Бакалея,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2002-04-05,2011-03-02,1.85:,Cancelled
56,Скалки,394,395,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1995-02-05,1996-04-04,2.32:,Temporarily Unavailable
57,Отбивная,6371,927,Мясо,Подходит для использования в рецептах традиционной кухни разных стран.,1996-03-01,2021-11-04,3.31:,Backorder
58,Гусиные потроха,9112,251,Мясо,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2015-05-05,2023-08-13,3.33:,Out of Stock
59,Пакеты для офиса,4510,184,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1994-04-05,2026-06-12,1.01:,Refunded
60,Алтайская россыпь,8156,864,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2020-06-01,2026-01-08,1.5:,In Stock
61,Консервы мясные,6201,968,Мясо,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2014-06-11,2030-08-02,4.68:,Available for Pickup
62,Каша из булгура,3535,853,Бакалея,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2009-01-03,2022-01-12,3.11:,Cancelled
63,Ополаскиватель для полости рта,314,902,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1992-03-02,2011-01-03,0.33:,New
64,Fruko Schulz,9092,164,Напитки,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2010-05-07,2020-05-16,2.46:,Refunded
65,Краснодарская,9398,361,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2001-03-11,2002-03-03,2.93:,Pending
66,Редис,6922,428,Овощи,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1997-05-11,2014-03-20,4.35:,Awaiting Payment
67,Варенец,4593,863,Молочные продукты,Помогает поддерживать нормальный уровень гормонов в организме.,2009-03-04,2023-02-05,1.24:,Available for Pickup
68,Имбирь молотый,2478,948,Бакалея,"Отличается приятным ароматом, который усиливает аппетит.",2004-03-15,2008-04-16,0.05:,Pending
69,Российский сыр,3160,948,Молочные продукты,Служит основой для создания множества кулинарных шедевров.,1998-06-02,2006-05-05,3.39:,Sold
70,Гамбургеры,4033,469,Мясо,Способствует поддержанию нормальной микрофлоры кишечника.,1991-05-12,2027-06-13,1.13:,Refunded
71,Пастернак,560,995,Овощи,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",1995-09-04,2030-04-03,0.53:,Returned
72,Туалетная бумага,892,811,Товары для дома,Отличается натуральным составом и отсутствием искусственных добавок.,2016-10-09,2021-05-08,1.73:,Temporarily Unavailable
73,Укроп,5140,442,Овощи,Способствует нормализации обмена веществ в организме.,1993-01-10,1993-02-01,0.68:,Shipping
74,Камамбер,3413,826,Молочные продукты,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2004-09-15,2020-01-13,0.78:,Awaiting Review
75,Помидор,875,861,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2017-01-24,2022-01-10,4.58:,On Backorder
76,San Pellegrino,647,850,Напитки,Отличается натуральным составом и отсутствием искусственных добавок.,1993-08-01,2025-02-11,4.0:,Cancelled
77,Ливерная колбаса,1711,859,Мясо,"Обладает мягким вкусом, который нравится многим потребителям.",2014-06-01,2018-07-18,1.99:,On Backorder
78,Папайя,375,572,Фрукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2021-10-03,2027-01-19,0.05:,Pending
79,Monster Energy,9067,50,Напитки,Способствует снижению уровня стресса и улучшению настроения.,2004-07-10,2022-01-14,4.17:,Delivered
80,Коктебельская,880,326,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2001-02-14,2004-05-01,4.35:,On Backorder
81,Мята перечная сушеная,7020,590,Бакалея,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2000-06-08,2023-08-07,3.48:,Available for Pickup
82,Йогурт питьевой,7172,557,Напитки,"Подходит для приготовления как горячих, так и холодных блюд.",1990-03-02,2029-04-04,4.73:,Awaiting Payment
83,Морковь,4449,771,Овощи,Подходит для использования в специализированных диетах и лечебных программах.,2016-01-19,2030-06-14,0.2:,Available for Pickup
84,Кокос,8619,761,Фрукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2019-04-01,2020-01-07,1.26:,Backorder
85,Феодосийская,5977,980,Напитки,"Помогает улучшить состояние волос, ногтей и кожи.",1995-10-04,2005-03-01,0.68:,On Backorder
86,Абрикос,3100,653,Фрукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1995-01-16,2004-02-05,0.15:,Out of Stock
87,Сливки,4338,830,Молочные продукты,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",1991-06-11,1994-02-04,2.42:,Backorder
88,Оленина,7505,37,Мясо,Отличается гипоаллергенностью и безопасностью для большинства людей.,2017-10-01,2027-03-15,4.76:,In Stock
89,Куриные голени,2849,785,Мясо,"Является источником важных нутриентов, необходимых для роста и развития детей.",2022-01-10,2024-07-06,5.0:,Temporarily Unavailable
90,Растительное масло кунжутное,2459,616,Бакалея,Может быть использован в качестве заменителя менее полезных продуктов.,2012-03-04,2016-01-02,1.69:,Delivered
91,Помело,620,805,Фрукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2022-02-22,2023-01-20,4.73:,Available for Pickup
92,Пакеты для заморозки,544,313,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2009-06-01,2020-03-13,1.94:,In Stock
93,Верблюжье молоко,2391,499,Молочные продукты,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2008-02-05,2024-02-06,0.17:,Temporarily Unavailable
94,Верблюжье молоко,9209,640,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,1990-07-03,2010-02-11,3.35:,Sold
95,Пакеты для хранения одежды,6281,657,Товары для дома,Придает блюдам особую нежность и насыщенность.,2006-01-03,2015-03-17,3.43:,Delivered
96,Пиво безалкогольное,3931,853,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2017-01-01,2026-07-08,4.3:,Temporarily Unavailable
97,Маринад для мяса,4065,367,Бакалея,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2000-02-01,2025-02-11,2.24:,Awaiting Review
98,"Семечки (тыквенные, подсолнечника)",9654,299,Бакалея,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2000-07-03,2013-03-02,1.64:,Awaiting Review
99,Ветчина,9117,747,Мясо,"Подходит для использования в диетах, направленных на снижение веса.",2007-05-17,2009-07-01,0.64:,On Backorder
100,Повидло,6954,394,Бакалея,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2012-03-05,2017-11-05,2.12:,Available for Pickup
101,Мыло твердое,8326,83,Товары для дома,Отвечает всем современным стандартам качества и безопасности.,2000-01-04,2003-03-07,1.58:,Cancelled
102,Кофеварка,2179,816,Товары для дома,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1998-01-09,2003-04-04,4.55:,Available for Pickup
103,Краснодарская,4472,869,Напитки,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2005-06-01,2019-04-08,0.18:,Backorder
104,Ряженка,8066,746,Молочные продукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1994-01-11,2002-05-07,2.54:,Refunded
105,Спаржа,7722,397,Овощи,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",1991-11-04,2009-01-05,0.13:,Sold
106,Волжанка,3202,794,Напитки,Отличается хорошей совместимостью с другими продуктами питания.,2015-11-05,2020-01-21,3.07:,Available for Pickup
107,Малина,1918,271,Фрукты,Подходит для использования в рецептах традиционной кухни разных стран.,1995-08-04,1998-01-05,0.52:,Awaiting Review
108,Вологодская,4478,626,Напитки,Прошел все необходимые сертификации и соответствует международным стандартам.,2007-01-01,2029-02-01,0.39:,Returned
109,Пастила,3900,948,Бакалея,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2022-05-13,2030-06-10,3.69:,Out of Stock
110,Патиссон,3068,849,Овощи,Отличается низким содержанием насыщенных жиров и холестерина.,1991-05-06,2006-05-10,3.14:,Shipping
111,Подставки под горячие блюда,5758,288,Товары для дома,Помогает поддерживать нормальный уровень артериального давления.,1995-02-05,2016-03-10,1.5:,Available for Pickup
112,Пакеты для Дня Земли,6063,287,Товары для дома,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1994-01-13,2010-08-06,4.57:,Pending
113,Белокуриха,9793,513,Напитки,Прошел сертификацию на соответствие требованиям органических стандартов.,2018-04-12,2025-03-01,1.96:,Available for Pickup
114,Читинская,405,164,Напитки,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2000-02-04,2014-04-02,0.58:,On Backorder
115,Лук-порей,9825,421,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2002-05-06,2029-06-01,4.61:,Temporarily Unavailable
116,Perrier,7967,978,Напитки,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2013-06-07,2023-04-01,1.71:,Out of Stock
117,Брынза,6493,630,Молочные продукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",1997-06-16,2026-01-21,3.49:,Awaiting Payment
118,Шелковица,7564,850,Фрукты,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2013-11-03,2028-01-06,3.15:,Awaiting Review
119,Пармезан,6924,983,Молочные продукты,Является важным компонентом сбалансированного рациона питания.,1992-10-04,2019-05-02,4.59:,Out of Stock
120,Мука ржаная,6508,574,Бакалея,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2017-01-08,2028-01-09,3.92:,Shipping
121,Масала чай,1546,811,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",1995-03-12,2021-08-01,0.53:,Pending
122,Варено-копченая колбаса,3435,30,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1992-10-08,2024-02-20,0.52:,Delivered
123,Пакеты для микроволновки,351,123,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1993-04-04,2012-08-02,4.31:,On Backorder
124,Пакеты для Рождества,7798,806,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1991-06-05,2030-01-01,2.49:,On Backorder
125,Помидор,1789,926,Овощи,Помогает сохранять бодрость и активность в течение дня.,2014-07-01,2016-09-04,1.13:,Pending
126,Vittel,819,925,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2003-05-15,2004-04-17,0.86:,Pending
127,Куриные ножки,8070,256,Мясо,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2002-09-16,2013-01-04,4.76:,Shipping
128,Курт,5645,833,Молочные продукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2003-06-06,2006-04-05,1.23:,Shipping
129,Мята перечная сушеная,8426,432,Бакалея,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2001-02-13,2001-04-04,1.29:,Out of Stock
130,Компот из сухофруктов,6940,56,Напитки,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2001-01-14,2007-01-12,2.41:,Temporarily Unavailable
131,Яблоко,7368,709,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2012-01-14,2024-02-08,4.05:,Cancelled
132,Термосы,614,203,Товары для дома,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2007-04-09,2010-03-17,4.38:,In Stock
133,"Орехи (грецкий орех, миндаль, фундук)",9779,663,Бакалея,Отличается высокой питательностью и способен быстро утолить голод.,2004-02-22,2010-06-10,0.06:,Refunded
134,Петрушка корневая,6357,973,Овощи,"Отличается длительным сроком годности, что позволяет делать запасы.",2012-04-03,2019-02-02,2.32:,Available for Pickup
135,Пакеты для ярмарки,1297,376,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2014-03-01,2022-03-12,0.67:,Temporarily Unavailable
136,Морковь,4072,815,Овощи,"Отличается длительным сроком годности, что позволяет делать запасы.",2008-04-08,2014-01-03,0.51:,Out of Stock
